name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Nhật Quang House,"78 Hải Triều, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,1",95,16.0107688,108.1806366,Đà Nẵng,Khách sạn,417.719 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipOmIHZfCO9oFpmkZxZxQOYoWplkH12MkLB5P-5_, https://lh5.googleusercontent.com/p/AF1QipPS3JHnrVCByu6yz-6ZF0qgwQTAWMnP2spbsoX4, https://lh5.googleusercontent.com/p/AF1QipPAG8FuUHxnW3wQ9Mp9ErRPaOU0yUyAMA4vMk0o, https://lh5.googleusercontent.com/p/AF1QipOL6of2U3gj19FtfspoVLxZ7aZ1OtfrjJKvznPG, "
Bonny Boutique Hotel Da Nang,"01-03 Khuê Mỹ Đông 10, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",244,16.0376551,108.1739056,Đà Nẵng,Khách sạn,638.225 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipN7C7-179_GY_gUp1t8bkRWZus-E6XrMP9ZscHa, https://lh5.googleusercontent.com/p/AF1QipOoGCIuYN3mGZ3B-vq6p22aeCimrShZv_pZoio6, https://lh5.googleusercontent.com/p/AF1QipM29Ke_A9y-yR_diF-ivjFqzojgrKt_EVYfc8Su, https://lh5.googleusercontent.com/p/AF1QipNXOskgDS8yN_3a7EJyJzOkWG5LW-8QSHVbM_FM, "
Khách Sạn Avatar Đà Nẵng,"104 Hoàng Kế Viêm, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",419,16.0496168,108.1748896,Đà Nẵng,Khách sạn 4 sao,740.379 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipNs2dGAl7SWvDX8f4QQURRg4gMvZz1fzbevszkg, https://lh5.googleusercontent.com/p/AF1QipP-unOBQVeXG398CB_tQCCLrsiYpxeobbS_LpQs, https://lh5.googleusercontent.com/p/AF1QipMm1kgJnEUtXckdBrUjBSlBeNwI2tsPTcj4RRf_, https://lh5.googleusercontent.com/p/AF1QipND9BNHjHKO3Gl_iooolGZ73Lc5saXmmkuDXJFg, "
Khách sạn Golden Lotus Grand,"86 Lê Quang Đạo, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",2.669,16.049943,108.1732216,Đà Nẵng,Khách sạn 4 sao,1.097.926 ₫,Ít hơn 22% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPC_6anysqHIs9QO-zwbkAFD_iHvU97wmBmakLb, https://lh5.googleusercontent.com/p/AF1QipOdnDRqp-IFubNJLozeFrW8NMPbQISCjc_JLJVV, https://lh5.googleusercontent.com/p/AF1QipP7OTPGJZc10Ruih9pcvW135TIf4ComDJtjbUD0, https://lh5.googleusercontent.com/p/AF1QipNH1TmOl6G5_VFJT4gF0AXH8E641-LmVgEUaMFv, "
Golden Lotus Luxury Hotel Da Nang,"198B Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 50000, Việt Nam","4,8",683,16.0525002,108.1745334,Đà Nẵng,Khách sạn,1.023.078 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipN3vC4obPFmcyPqr9utAtLGbEfza_2PEdi1bCz_, https://lh5.googleusercontent.com/p/AF1QipONNYSBcBvoshOozGx4JtBn7v5vHi0QgP4eZGqH, https://lh5.googleusercontent.com/p/AF1QipN1yy6jMUH6fcEXQxbDnFhOiIzciQYak1Tm2t-B, https://lh5.googleusercontent.com/p/AF1QipPw1t6gPDx7qQ4lHNt3dRborlAyuk91TsS9TOMk, "
Premier Village Đà Nẵng Resort,"99 Võ Nguyên Giáp, Street, Ngũ Hành Sơn, Đà Nẵng 055000, Việt Nam","4,7",2.902,16.0420899,108.1786526,Đà Nẵng,Khách sạn 5 sao,10.527.126 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp trong tất cả các phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Trung tâm thể dục, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNK4QAXCG0CfXiPv09KVEyD0SfIZxE6eke1jr5s, https://lh5.googleusercontent.com/p/AF1QipO2_iw-NqGZFnhsoQmkSFosAfL4xLOx4DEGjheE, https://lh5.googleusercontent.com/p/AF1QipN1gPu6lG52DqYzyKKdFzlSGNa7G7mQgMw_JC6n, https://lh5.googleusercontent.com/p/AF1QipPX-CPTFAJqp4iYwcTSlN7HfHqVIomhAeYPQfcs, "
The Shine Hotel Da Nang,"255 Đ. Lê Văn Hiến, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,2",39,16.0121322,108.1844719,Đà Nẵng,Khách sạn,288.311 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNVZKNi757ztUhUpN6EZ4e4CzWxjqW9QOtOaKSJ, https://lh5.googleusercontent.com/p/AF1QipNbboWM4lT5HAgukAc755ePTex1JdUJpPXpQRNH, https://lh5.googleusercontent.com/p/AF1QipMbhiHB2DcSG-e42aLhPUmMALy16bVPAF8BlmKo, https://lh5.googleusercontent.com/p/AF1QipNHoToz73ENWNsnm5-hwAoAF_zq5dWMHxCYGr4F, "
Hyatt Regency Danang Resort and Spa,"5 Trường Sa, Street, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",4.670,16.0130143,108.1921,Đà Nẵng,Khách sạn 5 sao,3.842.556 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipOO-GYkZLXUYLQBz8_WjrIUDNEFzyTPjnJB3v0o, https://lh5.googleusercontent.com/p/AF1QipPS8lHYhQlEiuvMtaFJBlCweMLYfgqxoK3UTb4n, https://lh5.googleusercontent.com/p/AF1QipMueKVTqBgzptQr5yeywv1GqikEIB2BWulIZz_-, https://lh5.googleusercontent.com/p/AF1QipM1Mk6PLUuLC5vdAbKANHvKIKbu-jSDszi-0pbg, "
Khách sạn Lavencos biển Mỹ Khê Đà Nẵng,"362 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",279,16.04372,108.1754994,Đà Nẵng,Khách sạn,466.742 ₫,Ít hơn 38% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipP7Kf4KsUsHZWjO8lkhf8DhhMu2m-hQeaXqSUZV, https://lh5.googleusercontent.com/p/AF1QipPHD4PXihOu17AVG07B9mW1OvjPT8nHWJOsOfQ7, https://lh5.googleusercontent.com/p/AF1QipN0q4vAz_IxLPr5iUI3bmmg0yK2ndfxp8ksw1u3, https://lh5.googleusercontent.com/p/AF1QipPM3YmBsDIzDTGq-fcwKCTq_hU8gB2PD-r_ETO2, "
SeaColor Beachstay Danang By Haviland,"446 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,9",214,16.0401169,108.1770395,Đà Nẵng,Khách sạn,210.721 ₫,Ít hơn 25% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPaUqwHZAfD3BSbl7-cM3ckEu_93S0ZOlR_iufR, https://lh5.googleusercontent.com/p/AF1QipOxcZNjdDye3W4GxjR8IMy2aQV8RlKoANIJhX_o, https://lh5.googleusercontent.com/p/AF1QipNVNejce4KbJRMTxUMPs_lhG4qzloaTcebfIOKg, https://lh5.googleusercontent.com/p/AF1QipMg-aBSbXm1I942kyWxEAfs02j7Cq-rrbuu5dUS, "
